[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001810s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_end ] --START--
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000652s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000751s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Tag[ route_check ] --START--
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Run CheckRoute Behavior [ RunTime:0.001058s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001195s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Tag[ app_begin ] --START--
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000750s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000579s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001461s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: major CourseAction.class.php 第 45 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SHOW COLUMNS FROM `zz_major` [ RunTime:0.005112s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SELECT * FROM `zz_major`  [ RunTime:0.000407s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: major CourseAction.class.php 第 50 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SHOW COLUMNS FROM `zz_course` [ RunTime:0.005307s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SHOW COLUMNS FROM `zz_coursetype` [ RunTime:0.005164s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SHOW COLUMNS FROM `zz_college` [ RunTime:0.005326s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SELECT course.id AS id,course.courseno AS courseno,course.coursename AS coursename,course.properties AS properties,course.classhour AS classhour,major.id AS majorid,major.majorname AS majorname,coursetype.id AS propertiesid,coursetype.typename AS propertiesname,college.id AS collegeid,college.collegename AS collegename FROM zz_course course  JOIN zz_major major ON course.major=major.id  JOIN zz_coursetype coursetype ON course.properties=coursetype.id  JOIN zz_college college ON course.college=college.id  [ RunTime:0.000753s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SHOW COLUMNS FROM `zz_conf` [ RunTime:0.005694s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SELECT * FROM `zz_conf` WHERE conf_name='PAGECOUNT' LIMIT 1   [ RunTime:0.000583s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SELECT * FROM `zz_conf` WHERE conf_name='SUB_SIZE' LIMIT 1   [ RunTime:0.000408s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | SQL: SELECT course.id AS id,course.courseno AS courseno,course.coursename AS coursename,course.classhour AS classhour,major.majorname AS majorname,coursetype.typename AS propertiesname,college.collegename AS collegename FROM zz_course course  JOIN zz_major major ON course.major=major.id  JOIN zz_coursetype coursetype ON course.properties=coursetype.id  JOIN zz_college college ON course.college=college.id ORDER BY course.id desc LIMIT 0,10   [ RunTime:0.000766s ]
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: self1 BaseAction.class.php 第 280 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: self2 BaseAction.class.php 第 291 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: self3 BaseAction.class.php 第 302 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: loanreturn BaseAction.class.php 第 313 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: lookgrade BaseAction.class.php 第 319 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: addgrade BaseAction.class.php 第 326 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: add BaseAction.class.php 第 333 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined index: return BaseAction.class.php 第 339 行.
